servingCellID,ServingCellRSRP,Nbr1CellID,Nbr1RSRP,Nbr2CellID,Nbr2RSRP,ServCellRSRQ
488,2,53,4,39,1,38,33
489,4,46,5,41,7,37,29
490,7,52,5,44,8,41,30
491,4,47,5,42,6,37,28
492,8,48,5,49,7,38,26
493,5,47,1,44,2,44,26
494,4,39,5,38,2,38,21
495,8,46,4,41,5,39,28
496,1,40,2,49,5,37,12
497,1,45,2,44,5,40,25
498,5,44,7,37,8,37,27
499,1,41,5,41,2,39,21
500,8,48,4,37,5,34,32
501,1,44,4,38,2,35,30
502,8,39,5,49,2,41,9
503,5,46,4,41,8,39,29
504,4,55,5,57,1,53,23
505,2,52,4,41,1,37,32
506,4,46,5,46,7,37,25
507,5,49,4,44,8,34,30
508,7,46,8,42,5,41,26
509,5,49,2,40,4,39,30
510,4,45,5,48,1,36,22
511,8,47,5,45,4,38,28
512,5,49,2,45,1,43,29
513,4,39,2,41,5,40,18
514,8,45,5,42,6,37,27
515,1,42,2,45,5,44,19
516,5,44,8,38,7,38,28
517,8,46,5,37,4,35,31
518,5,44,2,42,4,37,26
519,1,42,2,42,4,37,25
520,5,46,4,40,8,40,28
521,2,51,4,43,5,39,31
522,4,45,5,53,7,38,16
523,5,44,4,45,8,37,24
524,5,62,4,56,1,50,31
525,1,41,5,45,2,45,16
526,7,42,8,47,4,38,16
527,5,52,4,40,8,39,31
528,8,48,5,46,4,38,28
529,5,52,2,45,1,41,31
530,4,39,5,42,2,39,17
531,8,47,5,41,7,39,29
532,5,44,8,42,4,37,26
533,5,44,2,43,1,40,26
534,5,55,4,43,8,40,32
535,5,42,2,43,4,38,23
536,1,43,2,44,4,40,24
537,5,51,4,38,2,35,32
538,5,42,4,40,3,37,25
539,8,49,7,38,4,38,31
540,5,60,4,54,1,47,31
541,5,54,4,42,8,40,32
542,8,47,5,47,7,34,26
543,4,45,5,44,8,40,26
544,5,50,4,44,2,41,30
545,8,49,5,41,4,38,31
546,5,44,8,42,9,38,26
547,5,44,2,45,1,39,25
548,5,56,8,43,4,42,32
549,5,44,2,43,4,38,25
550,1,47,2,49,4,44,23
551,2,55,4,43,5,38,32
552,5,45,4,40,3,38,28
553,8,48,7,38,5,35,31
554,5,60,4,55,1,44,30
555,5,56,4,44,2,43,32
556,8,54,7,49,4,42,30
557,8,48,5,47,7,36,27
558,4,47,5,43,8,40,27
559,5,48,4,46,2,42,27
560,8,49,4,40,5,40,30
561,5,47,8,40,7,38,29
562,5,47,2,48,1,38,25
563,5,56,7,42,8,40,32
564,5,41,2,42,7,41,21
565,1,46,2,49,4,44,23
566,2,50,1,41,5,40,31
567,5,48,4,39,3,37,31
568,8,46,6,38,5,37,29
569,5,57,4,45,2,43,32
570,8,53,7,44,5,44,30
571,8,50,5,44,7,36,30
572,4,45,5,45,8,38,24
573,5,48,4,42,2,41,29
574,8,49,5,41,4,41,30
575,2,49,5,46,1,39,29
576,5,45,8,38,4,37,29
577,5,53,8,42,7,40,31
578,5,50,4,45,8,38,30
579,5,41,7,45,2,43,17
580,2,49,5,45,1,43,28
581,2,51,4,45,1,43,30
582,5,52,2,40,3,39,31
583,8,50,9,38,6,36,31
584,5,54,4,47,2,44,30
585,7,48,2,44,5,43,28
586,5,50,4,40,8,38,31
587,8,49,7,36,3,36,31
588,8,52,4,42,5,39,32
589,5,45,2,42,1,42,26
590,8,50,4,40,7,37,31
591,2,47,5,47,1,40,26
592,5,46,8,37,4,36,30
593,5,54,8,44,2,39,32
594,5,46,4,47,8,44,23
595,2,47,5,42,1,40,29
596,2,52,1,41,4,40,32
597,5,52,2,42,3,39,31
598,8,51,9,36,5,35,32
599,5,57,4,46,8,44,32
600,7,52,2,45,5,42,30
601,5,51,8,38,4,37,32
602,8,46,3,38,7,37,30
603,8,54,4,43,7,40,32
604,5,40,1,40,2,39,20
605,8,52,7,40,5,37,32
606,2,46,5,48,1,42,23
607,5,45,4,39,9,36,29
608,5,46,8,47,4,46,21
609,2,41,5,44,1,41,19
610,2,52,4,38,1,38,32
611,7,52,2,44,5,44,30
612,8,43,7,36,2,36,28
613,5,37,2,42,1,39,16
614,2,44,5,47,1,41,22
615,2,39,5,46,1,43,13
616,5,37,2,42,1,39,16
617,5,45,4,41,8,37,28
618,5,51,8,40,2,39,32
619,5,48,8,48,4,44,25
620,5,47,1,44,2,39,29
621,2,43,5,39,1,38,25
622,2,53,5,40,4,37,32
623,5,57,6,43,2,42,33
624,5,56,8,43,2,41,32
625,7,50,5,45,2,41,29
626,8,46,7,36,5,33,31
627,5,49,4,41,8,38,30
628,5,45,2,41,8,40,27
629,5,52,8,49,4,47,28
630,5,48,2,46,1,38,28
631,5,47,1,46,2,42,26
632,2,45,6,43,5,42,25
633,8,51,9,41,5,38,31
634,7,47,2,41,5,40,28
635,8,49,5,36,7,35,32
636,5,46,8,42,4,37,28
637,5,51,2,41,8,41,31
638,5,58,4,47,8,45,32
639,5,49,2,46,1,36,29
640,5,46,2,47,1,45,22
641,2,44,5,42,6,39,25
642,5,50,2,46,4,36,29
643,8,49,5,46,9,36,28
644,5,52,8,46,6,37,31
645,7,37,5,41,2,40,16
646,8,54,5,42,7,39,33
647,8,53,5,49,9,43,29
648,5,47,8,42,7,40,28
649,5,54,8,43,2,40,32
650,5,50,2,45,3,37,30
651,5,43,2,48,3,42,17
652,2,47,5,46,6,36,27
653,5,48,2,47,3,35,27
654,8,47,5,46,9,33,27
655,2,47,3,46,5,43,24
656,5,40,2,41,7,37,22
657,8,50,5,52,9,40,23
658,5,49,8,46,6,40,29
659,5,52,4,49,8,41,29
660,5,51,2,42,1,39,31
661,5,49,2,47,4,37,28
662,8,49,5,49,6,39,26
663,2,50,3,45,5,44,28
664,5,38,2,41,7,37,19
665,8,49,5,46,4,38,28
666,5,54,8,44,6,43,31
667,5,56,4,46,8,43,31
668,5,53,1,42,2,40,31
669,2,41,5,41,1,36,23
670,5,46,2,50,4,41,21
671,8,47,5,52,6,40,20
672,2,57,3,42,5,42,32
673,8,49,5,39,7,37,30
674,5,55,3,42,7,40,32
675,2,51,5,43,4,40,31
676,5,50,8,44,6,39,30
677,2,46,5,46,1,34,26
678,5,44,1,37,2,36,28
679,8,48,4,38,5,37,30
680,5,54,3,43,2,41,32
681,2,55,5,45,4,41,32
682,5,50,8,44,6,40,30
683,2,46,5,44,1,35,28
684,5,46,1,38,2,37,30
685,8,51,5,40,4,38,31
686,5,52,3,43,4,40,30
687,2,54,5,44,4,39,32
688,5,51,6,42,8,42,31
689,2,50,5,44,1,38,30
690,5,47,1,40,2,39,29
691,5,58,8,45,6,42,32
692,5,53,3,44,6,41,31
693,2,52,5,43,4,37,32
694,5,50,6,44,8,39,30
695,5,43,1,39,7,37,25
696,5,52,8,44,6,40,30
697,8,49,5,44,9,37,29
698,5,55,6,42,4,42,32
699,2,48,5,44,4,38,29
700,5,49,6,47,8,40,28
701,5,40,1,38,8,38,23
702,5,52,8,42,6,40,31
703,8,47,5,42,9,38,28
704,5,52,6,44,4,39,31
705,5,45,6,47,8,40,22
706,5,42,8,39,1,39,26
707,5,49,6,43,8,39,30
708,8,47,5,42,9,38,27
709,2,47,5,50,6,41,23
710,5,42,6,46,4,41,18
711,5,42,1,36,2,35,28
712,5,47,6,47,8,37,26
713,6,47,8,40,5,39,29
714,8,43,5,42,9,38,23
715,5,54,6,49,2,48,29
716,5,44,2,41,1,33,28
717,2,55,5,43,3,40,32
718,6,50,8,40,5,39,31
719,8,46,5,44,9,42,25
720,5,49,6,47,4,37,28
721,5,53,6,43,8,39,31
